methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,USPos,asiaPos,USOP,USCL,asiaOP,asiaCL,r_exOP,r_exCL,operation
signal1-model1,2303-UMC,2021-01-07,-0.959598862744558,-0.958637992302939,-0.96100788208439,-0.959822937193664,8.12672016375934,8.62065155559823,0,0,8.57,8.32,46.2,47.35,0.0358577165806081,0.0357973867907643,
signal1-model1,2303-UMC,2021-01-08,-0.962519762307147,-0.958649835445612,-0.961412398251653,-0.960031116848633,8.012671890798,8.58631493518551,0,0,8.5,8.84,47.85,46.7,0.0358963313949314,0.0358577165806081,跌下限\收盘平
signal1-model1,2303-UMC,2021-01-11,-0.9607661787242,-0.958656035437973,-0.961460056996353,-0.960058046217163,8.3129007587161,8.91771620792186,0,0,9.05,8.76,50,48.2,0.0358320194926186,0.0359130903214222,
signal1-model1,2303-UMC,2021-01-12,-0.959784489907274,-0.958885099880941,-0.961386489547806,-0.960135794714374,8.71509340624879,9.27965861508004,0,0,8.73,8.91,48.45,50.5,0.0358886017800746,0.0358320194926186,
signal1-model1,2303-UMC,2021-01-13,-0.961445615160873,-0.958859147997713,-0.961481650954139,-0.960170399475926,8.45292536065103,9.0284386497165,0,0,8.89,9.02,50,49.45,0.0358551452133381,0.0358886017800746,
signal1-model1,2303-UMC,2021-01-14,-0.960249284685878,-0.958871750999948,-0.96149240732578,-0.960182079162864,8.71788760403902,9.31118844968519,0,0,9.51,9.02,49.9,49.8,0.0358873138345595,0.0358551452133381,
signal1-model1,2303-UMC,2021-01-15,-0.960771589039551,-0.958871862054532,-0.961489817922357,-0.960180839988445,8.70828123908218,9.30027781605408,0,0,8.78,9.13,48.75,51.6,0.0357961053837342,0.0358873138345595,
signal1-model1,2303-UMC,2021-01-18,-0.961799034318768,-0.958854795215391,-0.961684536898467,-0.960269666056929,8.47668199722049,9.10271698257749,0,0,8.78,9.13,49.65,48.3,0.0358037952022914,0.0357717760686818,跌下限\收盘平
signal1-model1,2303-UMC,2021-01-19,-0.96106453711773,-0.959031619648002,-0.961727100595762,-0.960379360121882,8.67695459427136,9.28805451503803,0,0,8.78,9.13,53,50.6,0.035810205908684,0.0357986682895396,
signal1-model2,INFO-INFY,2020-10-27,0.0135590687775153,0.0188460888442356,-0.0235213736503121,-0.00233764240303825,14.7231994922057,15.3620097902023,13.12,-1008,14.85,14.8,1090.85,1107,0.0135098621994056,0.0134843581445523,
signal1-model2,INFO-INFY,2020-10-28,0.0163609089807972,0.020253255807963,-0.0237391738287285,-0.00174295901038276,14.4446813537006,15.0955900156503,13.12,-1008,14.38,14.5,1076.55,1080,0.0134318334452653,0.0135098621994056,
signal1-model2,INFO-INFY,2020-10-29,2.7866874365845e-06,0.0205536208298438,-0.0228061169145277,-0.00112624804234197,14.1688197468178,14.7975141328587,13.12,-1008,14.28,14.46,1074.85,1060.2,0.0134174158057158,0.0134318334452653,
signal1-model2,INFO-INFY,2020-10-30,0.0134721980866934,0.0207483748018119,-0.0228451583296276,-0.00104839176390787,14.1285646245322,14.7588782900782,13.12,-1008,14.27,14.23,1060.6,1070,0.0133868808567604,0.0134174158057158,
signal1-model2,INFO-INFY,2020-11-02,-0.0128583437762234,0.0203762540769419,-0.0215758421237174,-0.000599794023387756,13.8922815253054,14.487943770871,13.12,-1008,14.25,14.36,1072.3,1065,0.0133886731824876,0.0133654103180968,
signal1-model2,INFO-INFY,2020-11-03,0.00890191522006112,0.020082599089029,-0.0215451434279953,-0.000731272169483155,14.0740311288542,14.6728018744572,13.12,-1008,14.3,14.23,1062.55,1077,0.0133600534402138,0.0133886731824876,
signal1-model2,INFO-INFY,2020-11-04,-0.0316695236767304,0.0210013043596961,-0.0255185332160216,-0.00225861442816276,13.9037283520433,14.5674651255795,-14.66,1068,14.68,14.66,1093.95,1068,0.013437248051599,0.0133600534402138,跌下限\开盘平\收盘加仓亚股
signal1-model2,INFO-INFY,2020-11-05,-0.0151621545707927,0.0207053878153839,-0.0244413145807248,-0.00186796338267045,14.4053604573679,15.0720087392167,-14.66,1068,15.01,14.93,1104,1112,0.0134879956838414,0.0134408602150538,
signal1-model2,INFO-INFY,2020-11-06,-0.0120279334783374,0.020627968512147,-0.0249537818613561,-0.00216290667460456,14.5878219114316,15.2697777454119,-14.66,1068,14.93,15.07,1112.75,1108,0.0134770889487871,0.0134861766689144,
signal1-model2,INFO-INFY,2020-11-09,-0.0248606849942907,0.0210069589485429,-0.0262546558520443,-0.0026238484517507,14.6604176926986,15.3719743825171,-14.66,1068,14.83,15.35,1136.55,1125,0.0134807225667296,0.0134517083669626,
signal1-model2,INFO-INFY,2020-11-10,0.0537493282817401,0.0306321547201221,-0.0290831749625552,0.000774489878783452,14.8661335308107,15.7804611457069,14.54,-1162.3,14.54,14.54,1091.05,1162.3,0.0134246207544637,0.0134807225667296,超上限\开盘平\收盘加仓亚股
signal1-model2,INFO-INFY,2020-11-11,-0.0138069735385172,0.03056237912826,-0.0285979284551885,0.00098222533653578,14.2106550166726,15.0761120157622,14.54,-1162.3,15.09,14.85,1122.5,1098,0.0133976420150054,0.0134228187919463,
signal1-model2,INFO-INFY,2020-11-12,0.0132640552587726,0.0298970657800132,-0.028526451478943,0.000685307150535108,14.60033150852,15.4783818899978,14.54,-1162.3,14.95,14.84,1117.75,1128.1,0.0133582687683676,0.0133958472873409,
signal1-model2,INFO-INFY,2020-11-13,-0.00511660674224301,0.0296204597144541,-0.0263754883029704,0.00162248570574185,14.5035965358928,15.3377401178719,14.54,-1162.3,15.29,15.01,1124.2,1117.75,0.0133797163500134,0.0133600534402138,
signal1-model2,INFO-INFY,2020-11-16,-0.0163855537643463,0.029562470447663,-0.0276667915743149,0.000947839436674064,14.607627331641,15.4673981641476,14.54,-1162.3,15.46,15.29,1133.45,1137,0.0134048257372654,0.0133779264214047,
signal1-model2,INFO-INFY,2020-11-17,0.00235730171021098,0.0297387794635601,-0.0274744272228702,0.00113217612034491,14.7568849469212,15.6250253147936,14.54,-1162.3,15.28,15.16,1123.7,1144.75,0.0133886731824876,0.0134066228716986,
signal1-model2,INFO-INFY,2020-11-18,-0.00759551087326293,0.0296599009654363,-0.0277575655750934,0.000951167695171484,14.6114770916638,15.4743832633273,14.54,-1162.3,14.99,15.16,1110.55,1129,0.0134354426978369,0.0133886731824876,
signal1-model2,INFO-INFY,2020-11-19,-0.000620838038663085,0.0282025841944897,-0.0280727072345096,6.49384799900454e-05,14.5114699354426,15.35169451372,14.54,-1162.3,14.83,14.93,1096.75,1100,0.013457139012246,0.0134354426978369,
signal1-model2,INFO-INFY,2020-11-20,-0.0147451794605611,0.0272982998250727,-0.0294883433486961,-0.00109502176181169,14.3669245964818,15.2075630524689,14.54,-1162.3,14.91,14.98,1103.35,1105.5,0.0134553283100108,0.013457139012246,
signal1-model2,INFO-INFY,2020-11-23,-0.0296773535391911,0.026434952014474,-0.0327208613594672,-0.0031429546724966,14.4635921270158,15.3481408807345,14.54,-1162.3,15.38,15.3,1139.85,1105,0.013430029546065,0.0134553283100108,
signal1-model2,INFO-INFY,2020-11-24,-0.0137781214050077,0.024658446018209,-0.0336780743814545,-0.00450981418162275,14.9378201246216,15.8396111585658,14.54,-1162.3,15.53,15.52,1140.05,1144,0.0134807225667296,0.0134282261313281,
signal1-model2,INFO-INFY,2020-11-25,0.0137663431530377,0.0243211138948444,-0.0336001988408659,-0.00463954247301073,15.0037889034256,15.9030431750568,14.54,-1162.3,15.1,15.16,1115.65,1139,0.0135080372821829,0.0134807225667296,
signal1-model2,INFO-INFY,2020-11-26,-0.00592072599819571,0.0239806115560455,-0.0338520477706301,-0.00493571810729234,14.7173116598043,15.5982753563707,14.54,-1162.3,15.1,15.16,1113.2,1118,0.0135025654874426,0.0135080372821829,
signal1-model2,INFO-INFY,2020-11-27,0.00207039337474124,0.0227973718459031,-0.033808988531683,-0.00550580834288995,14.696025150606,15.5570231167629,14.54,-1162.3,14.92,15,1100,1115,0.0134807225667296,0.0135025654874426,
signal1-model2,INFO-INFY,2020-11-30,-0.00625014454543349,0.023011038788907,-0.033361835551608,-0.00517539838135045,14.4835292905231,15.3281867918827,14.54,-1162.3,15.22,14.91,1100,1115,0.0134661998384056,0.0134698275862069,
signal1-model2,INFO-INFY,2020-12-01,-0.0437172484024427,0.022698151279337,-0.0383108644042883,-0.00780635656247565,14.4840584719119,15.4029189620308,0,0,15.38,15.49,1137.85,1105.55,0.0135740464232388,0.0134661998384056,跌下限\开盘平\收盘平
signal1-model2,INFO-INFY,2020-12-02,-0.00559353092644765,0.0228171265440847,-0.0358222403940077,-0.00650255692496151,15.0986252223717,16.0168934730698,0,0,15.41,15.53,1140.9,1135,0.013531799729364,0.0135722041259501,
signal1-model2,INFO-INFY,2020-12-03,0.00904773276022164,0.024304030768019,-0.0348881558848406,-0.00529206255841079,15.0721171131736,15.9965193727218,0,0,15.24,15.3,1126.45,1130.6,0.0135025654874426,0.013531799729364,
signal1-model2,INFO-INFY,2020-12-04,-0.0137541222354777,0.0242698625853082,-0.0350266065778438,-0.00537837199626781,14.8475631185159,15.7599282413332,0,0,15.75,15.42,1134.65,1126,0.0135098621994056,0.0135007425408397,
signal1-model2,INFO-INFY,2020-12-07,-0.0197547093069266,0.0241752312336279,-0.0344213776574271,-0.0051230732118996,14.9691535968638,15.877563972207,0,0,15.62,15.64,1143.5,1144,0.0135062128579146,0.0135116876097825,
signal1-model2,INFO-INFY,2020-12-08,-0.0162831590429686,0.0121997353274728,-0.0294491304837429,-0.00862469757813503,15.2582083001916,15.912977761509,0,0,16.01,15.7,1153.35,1144.4,0.0135281385281385,0.0135062128579146,
signal1-model2,INFO-INFY,2020-12-09,-0.0287385921943374,0.0124705628058998,-0.0312131198277519,-0.00937127851092604,15.4063325714185,16.1010213170781,0,0,15.53,16.06,1175.2,1168.05,0.0135208220659816,0.0135244793075467,
signal1-model2,INFO-INFY,2020-12-10,0.0145288613260253,0.0126925669587788,-0.0313086433739056,-0.00930803820756341,15.6883959522656,16.4010155140653,15.66,-1157.4,15.5,15.66,1167.75,1157.4,0.0135244793075467,0.0135189941868325,超上限\收盘加仓亚股
signal1-model2,INFO-INFY,2020-12-11,0.0117367528115064,0.0146151649185709,-0.0315459053783228,-0.00846537022987593,15.5657152164241,16.3076503048471,15.66,-1157.4,15.74,15.61,1163.2,1168,0.0135208220659816,0.0135244793075467,
signal1-model2,INFO-INFY,2020-12-14,0.00380006325528259,0.0157965536966403,-0.0307087324544293,-0.00745608937889449,15.4849383313696,16.227884762689,15.66,-1157.4,15.66,15.67,1164.55,1167.95,0.0135354629128316,0.0135226504394861,
signal1-model2,INFO-INFY,2020-12-15,0.00876465807681304,0.0165327414654439,-0.0308041845865726,-0.00713572156056439,15.5105595349646,16.268117706446,15.66,-1157.4,15.61,15.63,1154.6,1158.5,0.0135611608353675,0.0135391280801516,
signal1-model2,INFO-INFY,2020-12-16,-0.00232818892064135,0.0168498666199093,-0.0305945775457759,-0.00687235546293331,15.3940824793227,16.1474965512423,15.66,-1157.4,15.66,15.69,1165.7,1160,0.0135446295543817,0.0135574837310195,
signal1-model2,INFO-INFY,2020-12-17,0.0024745823201735,0.0171236592890474,-0.0305588281790303,-0.00671758444499148,15.5231613455722,16.2866764178018,15.66,-1157.4,16.21,15.75,1159.2,1166.35,0.0135593220338983,0.0135446295543817,
signal1-model2,INFO-INFY,2020-12-18,-0.0286875685415432,0.0174203939017704,-0.0322498016998516,-0.00741470389904059,15.4467467284867,16.239557655067,15.66,-1157.4,16.22,16.18,1189.8,1182,0.0135427952329361,0.0135574837310195,
signal1-model2,INFO-INFY,2020-12-21,0.0133218868329474,0.0191905996209041,-0.0297200833817714,-0.00526474188043366,15.8183868900566,16.6157733901192,15.66,-1157.4,15.93,15.91,1177.3,1189.9,0.0134843581445523,0.013550135501355,
signal1-model2,INFO-INFY,2020-12-22,-0.0312827460455841,0.0197024359746975,-0.0319823821996225,-0.00613997311246248,15.57049903204,16.4018458965558,15.66,-1157.4,16.58,16.39,1220.5,1178,0.0134625740441572,0.0134861766689144,
signal1-model2,INFO-INFY,2020-12-23,-0.027747241367224,0.0175910893671951,-0.0340223940441462,-0.00821565233847557,16.1470278116447,17.0097852368276,15.66,-1157.4,16.59,16.9,1253.05,1242.95,0.0134970981239034,0.0134625740441572,
signal1-model2,INFO-INFY,2020-12-24,0.0136675439030776,0.0195928706671302,-0.034065348353954,-0.0072362388434119,16.583064788635,17.5042634649151,15.66,-1157.4,16.6,16.68,1236.05,1265,0.013550135501355,0.0134934556739981,
signal1-model2,INFO-INFY,2020-12-25,0.00425148429839917,0.0198013110773397,-0.0340556796717977,-0.00712718429722901,16.4256650546971,17.3414910213518,15.66,-1157.4,16.6,16.68,1236.05,1265,0.0135391280801516,0.0135519718118986,
signal1-model2,INFO-INFY,2020-12-28,-0.000375491007261197,0.0201896254744989,-0.0338565287151397,-0.00683345162032039,16.3927544623581,17.3097666469845,15.66,-1157.4,16.77,16.73,1240.3,1237.35,0.0135556459265284,0.0135299688810716,
signal1-model2,INFO-INFY,2020-12-29,-0.0050090490187269,0.0187803763965795,-0.0285764596988487,-0.0048980416511346,16.5053700102266,17.3100057533819,15.66,-1157.4,16.76,16.9,1250.3,1237,0.0135740464232388,0.0135574837310195,
signal1-model2,INFO-INFY,2020-12-30,0.00616089464707592,0.0196537154390733,-0.0282743561839901,-0.00431032037245842,16.6467635391168,17.4678258217399,15.66,-1157.4,16.93,16.87,1246.8,1252.9,0.0136258345823682,0.013575889220744,
signal1-model2,INFO-INFY,2020-12-31,-0.00138882881843838,0.0186946458722967,-0.0283589427750796,-0.00483214845139142,16.6746493570241,17.4821513515626,15.66,-1157.4,16.95,17.01,1255.8,1243,0.013646288209607,0.0136239782016349,
signal1-model2,INFO-INFY,2021-01-01,0.0076042103702354,0.0198937022716699,-0.0274221659138815,-0.00376423182110577,16.8050332894715,17.6225974083634,15.66,-1157.4,16.95,17.01,1260.45,1258.95,0.0136388434260775,0.0136481506755835,
signal1-model2,INFO-INFY,2021-01-04,-0.0111690163938285,0.0198053810544726,-0.0264752754053743,-0.00333494717545086,16.8618161115516,17.6634145702582,15.66,-1157.4,17.25,17.39,1288.25,1271.75,0.01363698349925,0.0136425648021828,
signal1-model2,INFO-INFY,2021-01-05,0.01444803947138,0.0215998546273743,-0.0251966291268411,-0.00179838724973344,17.1987495535157,18.0243940148731,15.66,-1157.4,17.65,17.32,1293.8,1282,0.0136276914690651,0.0136388434260775,
signal1-model2,INFO-INFY,2021-01-06,0.0131669415326401,0.0221522005943041,-0.0215584217210732,0.000296889436615438,17.2470447868898,18.0175343873647,15.66,-1157.4,17.73,17.4,1282.1,1296.25,0.0136295488619327,0.0136258345823682,
signal1-model2,INFO-INFY,2021-01-07,0.00631811739943711,0.0212770688935647,-0.0215043644129926,-0.00011364775971397,17.1057228739901,17.8536131206901,15.66,-1157.4,17.55,17.36,1262.15,1298,0.0135685210312076,0.0136258345823682,
signal1-model2,INFO-INFY,2021-01-08,-0.0523970416979085,0.0238879107447344,-0.0305285857151038,-0.00332033748518472,16.7236914088224,17.6623933457071,-18.07,1280,18.59,18.07,1312.1,1280,0.0135814206165965,0.0135666802333469,跌下限\开盘平\收盘加仓亚股
signal1-model2,INFO-INFY,2021-01-11,-0.0458992208964722,0.0247618782093008,-0.0363724815948457,-0.00580530169277246,17.3919453217733,18.4953233622376,-18.07,1280,18.76,18.68,1376.2,1342.1,0.013550135501355,0.0135832654170062,跌下限 持仓未执行
signal1-model2,INFO-INFY,2021-01-12,-0.0142587945277541,0.0232848475355054,-0.037197796181507,-0.00695647432300082,18.225837754221,19.3707736994865,-18.07,1280,18.6,18.92,1371.75,1378,0.0136184120931499,0.0135519718118986,
signal1-model2,INFO-INFY,2021-01-13,-0.0183364798329781,0.0226703940984665,-0.0381841718357018,-0.00775688886861766,18.2669381030109,19.4226963642642,-18.07,1280,18.43,19.03,1387.15,1379.8,0.0136128505309012,0.0136184120931499,
signal1-model2,INFO-INFY,2021-01-14,0.0167202714224974,0.0243109537730914,-0.0384001626000943,-0.00704460441350146,18.4323865431378,19.6344619726301,-18.07,1280,18.22,18.57,1370.5,1526.45,0.0136239782016349,0.0136109976861304,
signal1-model2,INFO-INFY,2021-01-15,0.0267592720370411,0.0280513678142732,-0.0365958925834177,-0.00427226238457225,18.167138085777,19.3862066962081,-18.07,1280,18.17,18.19,1344.95,1370,0.0136109976861304,0.0136276914690651,
signal1-model2,INFO-INFY,2021-01-18,0.00638325112485272,0.0273389003271203,-0.0365772886670743,-0.00461919416997698,17.8189605515104,19.0011208191615,-18.07,1280,18.17,18.19,1312.05,1340,0.0136091453456723,0.0136109976861304,
signal1-model2,INFO-INFY,2021-01-19,-0.0185019544307525,0.0269873310152297,-0.0349476401937005,-0.0039801545892354,17.3842937587707,18.4999800969225,-18.07,1280,18.17,18.19,1316.65,1315,0.0136184120931499,0.013607293509321,
signal1-model2,2330-TSM,2020-10-27,-0.963598811140407,-0.962953342138544,-0.964591799311648,-0.963772570725096,85.4448839911022,89.3987076917881,0,0,86.71,86.96,447,447.5,0.0352795907567472,0.0351716375914463,
signal1-model2,2330-TSM,2020-10-28,-0.962958230308322,-0.96294906060803,-0.964593494454197,-0.963771277531113,85.1289263108401,89.082688071719,0,0,83.85,85.15,444,445,0.0352199485788751,0.0352808354501835,
signal1-model2,2330-TSM,2020-10-29,-0.962885468266524,-0.962879781592732,-0.964612212417004,-0.963745997004868,84.2570901621539,88.3819476378585,0,0,84.89,84.27,437,436.5,0.035229874933944,0.0352211890673429,
signal1-model2,2330-TSM,2020-10-30,-0.963530841297801,-0.963001873300575,-0.964574650939548,-0.963788262120061,83.2228911004447,86.9177340771531,0,0,83.87,84.43,432,437,0.0352820802314504,0.035229874933944,
signal1-model2,2330-TSM,2020-11-02,-0.963969779652684,-0.963075115144287,-0.964583963707979,-0.963829539426133,82.5502003132551,86.0671311789265,0,0,85.71,84.6,435.5,433,0.0352907961603614,0.0352795907567472,
signal1-model2,2330-TSM,2020-11-03,-0.964336601165246,-0.963079597009688,-0.964626373229388,-0.963852985119538,83.2555469769403,86.8960473151489,0,0,87.69,86.19,441,439.5,0.0352050695300123,0.0352907961603614,
signal1-model2,2330-TSM,2020-11-04,-0.96500743175497,-0.963046384574581,-0.964776025901344,-0.963911205237962,84.0118245253907,88.1371490338871,-88.72,444.5,89.45,88.72,450,444.5,0.0352286338335799,0.0351988736360436,跌下限\收盘加仓亚股
signal1-model2,2330-TSM,2020-11-05,-0.964933767484462,-0.963054375784389,-0.964759794125031,-0.96390708495471,85.8204134148925,89.9736157985135,-88.72,444.5,90.43,90.42,451,451.5,0.0352733686067019,0.035229874933944,跌下限 持仓未执行
signal1-model2,2330-TSM,2020-11-06,-0.964570957357306,-0.963057903739132,-0.964820632050826,-0.963939267894979,86.1316124908384,90.4473987235194,-88.72,444.5,91.41,89.81,452.5,455,0.0352137474470033,0.03527585720333,
signal1-model2,2330-TSM,2020-11-09,-0.965439180939903,-0.962988035987423,-0.965013515285139,-0.964000775636281,86.0939861569671,91.0782418785688,-88.72,444.5,89.03,92.2,458.5,458,0.0351481494499315,0.035210027815922,跌下限 持仓未执行
signal1-model2,2330-TSM,2020-11-10,-0.963539758998205,-0.96294589421558,-0.964988112911869,-0.963967003563725,86.9832164702771,92.0568861782766,-88.72,444.5,87.66,88.4,451,452,0.0351222253441978,0.0351481494499315,
signal1-model2,2330-TSM,2020-11-11,-0.96460307568663,-0.962961812083771,-0.965046116126911,-0.964003964105341,85.5340097418353,90.6344124031876,-88.72,444.5,90.88,89.5,457,448.5,0.0351246926589392,0.0351222253441978,
signal1-model2,2330-TSM,2020-11-12,-0.964676811218533,-0.963067198745662,-0.965097434220946,-0.964082316483304,86.919250298746,91.9752266002808,-88.72,444.5,89.82,90.88,458,463,0.0351642168928898,0.0351222253441978,
signal1-model2,2330-TSM,2020-11-13,-0.964812734680045,-0.963069943801583,-0.965158172430247,-0.964114058115915,87.2200748919177,92.447569259684,-88.72,444.5,93.22,91.54,462,459,0.0352671486510316,0.0351642168928898,
signal1-model2,2330-TSM,2020-11-16,-0.96619369227422,-0.962948490456135,-0.965456270529999,-0.964202380493067,87.9749362724512,94.3616755032329,-88.72,444.5,99.27,96.42,484,470,0.0352398068858583,0.0352771016333298,跌下限 持仓未执行
signal1-model2,2330-TSM,2020-11-17,-0.965184595769023,-0.963019651913734,-0.965555495553611,-0.964287573733672,92.243948017838,99.0350525106385,-88.72,444.5,95.71,97.98,485.5,502,0.0352236703064459,0.0352398068858583,
